date,id,referee,home_team,away_team,home_goals,away_goals,result,total_goals,goal_diff,home_gf_rolls_mean_5,home_pts_rolls_sum_5,away_gf_rolls_mean_5,away_pts_rolls_sum_5
2023-09-03 11:30:00,1048618,C. Dingert,VfL Osnabruck,SV Elversberg,0,1,away,1,-1,1.5,1.0,1.25,1.0
2023-09-15 16:30:00,1048627,R. Hartmann,FC Nurnberg,SpVgg Greuther Furth,1,1,draw,2,0,1.6,7.0,1.4,4.0
2023-09-15 16:30:00,1048623,R. Kampka,SC Paderborn 07,SV Wehen,2,1,home,3,1,1.0,4.0,1.0,8.0
2023-09-16 11:00:00,1048626,N. Winter,Hansa Rostock,Fortuna Dusseldorf,1,3,away,4,-2,1.4,9.0,2.0,10.0
2023-09-16 11:00:00,1048624,D. Aytekin,Karlsruher SC,FC Kaiserslautern,1,1,draw,2,0,1.6,7.0,1.8,9.0
2023-09-16 11:00:00,1048628,P. Schwengers,SV Elversberg,Hamburger SV,2,1,home,3,1,1.2,4.0,2.6,13.0
2023-09-16 18:30:00,1048620,M. Bacher,FC Schalke 04,FC Magdeburg,4,3,home,7,1,1.4,4.0,2.6,11.0
2023-09-17 11:30:00,1048622,B. Dankert,FC St. Pauli,Holstein Kiel,5,1,home,6,4,0.6,7.0,1.8,12.0
2023-09-17 11:30:00,1048625,R. Braun,Hannover 96,VfL Osnabruck,7,0,home,7,7,1.8,8.0,1.2,1.0
2023-09-17 11:30:00,1048621,M. Fritz,Hertha Berlin,Eintracht Braunschweig,3,0,home,3,3,1.8,3.0,0.6,4.0
2023-09-22 16:30:00,1048633,F. Brych,FC Magdeburg,SC Paderborn 07,1,1,draw,2,0,3.0,10.0,1.4,7.0
2023-09-22 16:30:00,1048636,F. Exner,VfL Osnabruck,Hamburger SV,2,1,home,3,1,0.8,1.0,1.8,10.0
2023-09-23 11:00:00,1048635,F. Heft,Eintracht Braunschweig,FC Nurnberg,2,2,draw,4,0,0.6,4.0,1.8,8.0
2023-09-23 11:00:00,1048637,A. Aarnink,SV Wehen,SV Elversberg,0,2,away,2,-2,1.0,7.0,1.2,6.0
2023-09-23 11:00:00,1048634,P. Ittrich,SpVgg Greuther Furth,Karlsruher SC,4,3,home,7,1,0.6,2.0,1.2,5.0
2023-09-23 18:30:00,1048630,F. Willenborg,FC St. Pauli,FC Schalke 04,3,1,home,4,2,1.2,7.0,1.6,7.0
2023-09-24 11:30:00,1048632,M. Petersen,FC Kaiserslautern,Hansa Rostock,3,1,home,4,2,1.8,10.0,1.2,6.0
