date,id,referee,home_team,away_team,home_goals,away_goals,result,total_goals,goal_diff
2022-08-05 19:00:00,871474,B. Bastien,Lyon,Ajaccio,2,1,0,3,1
2022-08-06 15:00:00,871470,F. Letexier,Strasbourg,Monaco,1,2,2,3,-1
2022-08-06 19:00:00,871472,J. Stinat,Clermont Foot,Paris Saint Germain,0,5,2,5,-5
2022-08-07 11:00:00,871473,J. Hamel,Toulouse,Nice,1,1,1,2,0
2022-08-07 13:00:00,871476,H. Ben El Hadj,Angers,Nantes,0,0,1,0,0
2022-08-07 13:00:00,871475,E. Wattellier,Lille,Auxerre,4,1,0,5,3
2022-08-07 13:00:00,871477,P. Gaillouste,Montpellier,Estac Troyes,3,2,0,5,1
2022-08-07 13:00:00,871479,T. Léonard,Lens,Stade Brestois 29,3,2,0,5,1
2022-08-07 15:05:00,871471,B. Dechepy,Rennes,Lorient,0,1,2,1,-1
2022-08-07 18:45:00,871478,J. Brisard,Marseille,Reims,4,1,0,5,3
2022-08-12 19:00:00,871484,B. Dechepy,Nantes,Lille,1,1,1,2,0
2022-08-13 15:00:00,871482,J. Pignard,Monaco,Rennes,1,1,1,2,0
2022-08-13 19:00:00,871486,W. Delajod,Paris Saint Germain,Montpellier,5,2,0,7,3
2022-08-14 13:00:00,871488,J. Hamel,Reims,Clermont Foot,2,4,2,6,-2
2022-08-14 13:00:00,871480,S. Frappart,Ajaccio,Lens,0,0,1,0,0
2022-08-14 13:00:00,871481,R. Buquet,Auxerre,Angers,2,2,1,4,0
2022-08-14 13:00:00,871489,M. Bollengier,Estac Troyes,Toulouse,0,3,2,3,-3
2022-08-14 15:05:00,871485,H. Ben El Hadj,Nice,Strasbourg,1,1,1,2,0
2022-08-14 18:45:00,871487,J. Stinat,Stade Brestois 29,Marseille,1,1,1,2,0
2022-08-19 19:00:00,871495,E. Wattellier,Lyon,Estac Troyes,4,1,0,5,3
2022-08-20 15:00:00,871490,W. Delajod,Monaco,Lens,1,4,2,5,-3
2022-08-20 19:00:00,871496,J. Pignard,Marseille,Nantes,2,1,0,3,1
2022-08-21 11:00:00,871497,R. Buquet,Strasbourg,Reims,1,1,1,2,0
2022-08-21 13:00:00,871491,J. Brisard,Angers,Stade Brestois 29,1,3,2,4,-2
2022-08-21 13:00:00,871494,M. Vernice,Montpellier,Auxerre,1,2,2,3,-1
2022-08-21 13:00:00,871499,Gustavo Correia,Toulouse,Lorient,2,2,1,4,0
2022-08-21 13:00:00,871492,T. Léonard,Clermont Foot,Nice,1,0,0,1,1
2022-08-21 15:05:00,871498,H. Ben El Hadj,Rennes,Ajaccio,2,1,0,3,1
2022-08-21 18:45:00,871493,C. Turpin,Lille,Paris Saint Germain,1,7,2,8,-6
2022-08-26 19:00:00,871500,T. Léonard,Ajaccio,Lille,1,3,2,4,-2
2022-08-27 15:00:00,871501,J. Hamel,Auxerre,Strasbourg,1,0,0,1,1
