date,id,referee,home_team_id,away_team_id,home_team,away_team,home_goals,away_goals,result,total_goals,goal_diff,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_insidebox,home_shots_outsidebox,home_fouls,home_corner_kicks,home_offsides,home_ball_possession,home_yellow_cards,home_red_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes_%,home_expected_goals,home_goals_prevented,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_insidebox,away_shots_outsidebox,away_fouls,away_corner_kicks,away_offsides,away_ball_possession,away_yellow_cards,away_red_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes_%,away_expected_goals,away_goals_prevented
2024-08-24 11:00:00,1226187,R. Braun,178,185,SpVgg Greuther Fürth,SC Paderborn 07,1,1,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-24 11:00:00,1226191,M. Bacher,1313,745,Preußen Münster,1. FC Kaiserslautern,0,1,2,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-24 18:30:00,1226183,M. Jöllenbeck,192,744,1. FC Köln,Eintracht Braunschweig,5,0,0,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-25 11:30:00,1226190,E. Weisbach,1652,158,SSV Ulm 1846,Fortuna Düsseldorf,1,2,2,3,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-25 11:30:00,1226189,T. Gerach,179,174,1. FC Magdeburg,FC Schalke 04,2,2,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-25 11:30:00,1226184,M. Burda,181,171,SV Darmstadt 98,1. FC Nürnberg,1,1,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-30 16:30:00,1226192,F. Heft,158,166,Fortuna Düsseldorf,Hannover 96,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-30 16:30:00,1226200,P. Schwengers,177,178,SSV Jahn Regensburg,SpVgg Greuther Fürth,0,4,2,4,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-31 11:00:00,1226197,F. Brych,171,179,1. FC Nürnberg,1. FC Magdeburg,0,4,2,4,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-31 11:00:00,1226193,D. Siebert,175,1313,Hamburger SV,Preußen Münster,4,1,0,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-31 11:00:00,1226196,L. Benen,1660,181,SV Elversberg,SV Darmstadt 98,4,0,0,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-31 18:30:00,1226198,B. Brand,745,159,1. FC Kaiserslautern,Hertha BSC,3,4,2,7,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 11:30:00,1226194,F. Lechner,185,1652,SC Paderborn 07,SSV Ulm 1846,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 11:30:00,1226195,S. Jablonski,174,192,FC Schalke 04,1. FC Köln,1,3,2,4,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01 11:30:00,1226199,T. Bauer,744,785,Eintracht Braunschweig,Karlsruher SC,1,2,2,3,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-13 16:30:00,1226209,M. Burda,1313,185,Preußen Münster,SC Paderborn 07,3,3,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-13 16:30:00,1226204,T. Welz,785,174,Karlsruher SC,FC Schalke 04,2,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-14 11:00:00,1226205,R. Kampka,166,745,Hannover 96,1. FC Kaiserslautern,3,1,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-14 11:00:00,1226202,F. Prigan,181,744,SV Darmstadt 98,Eintracht Braunschweig,1,1,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-14 11:00:00,1226208,W. Haslberger,1652,171,SSV Ulm 1846,1. FC Nürnberg,1,2,2,3,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-14 18:30:00,1226201,R. Hempel,192,179,1. FC Köln,1. FC Magdeburg,1,2,2,3,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-15 11:30:00,1226207,M. Bacher,159,158,Hertha BSC,Fortuna Düsseldorf,0,2,2,2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-15 11:30:00,1226203,R. Braun,175,177,Hamburger SV,SSV Jahn Regensburg,5,0,0,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-15 11:30:00,1226206,E. Weisbach,178,1660,SpVgg Greuther Fürth,SV Elversberg,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-20 16:30:00,1226211,T. Bauer,185,166,SC Paderborn 07,Hannover 96,2,1,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-20 16:30:00,1226212,F. Heft,174,181,FC Schalke 04,SV Darmstadt 98,3,5,2,8,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-21 11:00:00,1226210,C. Dingert,158,192,Fortuna Düsseldorf,1. FC Köln,2,2,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-21 11:00:00,1226214,L. Benen,171,159,1. FC Nürnberg,Hertha BSC,0,2,2,2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-21 11:00:00,1226217,L. Erbst,744,178,Eintracht Braunschweig,SpVgg Greuther Fürth,2,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-21 18:30:00,1226215,F. Exner,745,175,1. FC Kaiserslautern,Hamburger SV,2,2,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-22 11:30:00,1226218,F. Lechner,177,1313,SSV Jahn Regensburg,Preußen Münster,0,3,2,3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-22 11:30:00,1226216,P. Alt,179,785,1. FC Magdeburg,Karlsruher SC,2,2,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-22 11:30:00,1226213,P. Schwengers,1660,1652,SV Elversberg,SSV Ulm 1846,1,3,2,4,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-27 16:30:00,1226225,R. Hempel,1652,744,SSV Ulm 1846,Eintracht Braunschweig,3,1,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-27 16:30:00,1226223,M. Jöllenbeck,178,158,SpVgg Greuther Fürth,Fortuna Düsseldorf,1,2,2,3,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-28 11:00:00,1226221,F. Badstübner,175,185,Hamburger SV,SC Paderborn 07,2,2,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-28 11:00:00,1226227,M. Burda,177,745,SSV Jahn Regensburg,1. FC Kaiserslautern,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-28 11:00:00,1226220,M. Bacher,181,179,SV Darmstadt 98,1. FC Magdeburg,1,2,2,3,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-28 18:30:00,1226226,R. Braun,1313,174,Preußen Münster,FC Schalke 04,1,2,2,3,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-29 11:30:00,1226224,N. Winter,159,1660,Hertha BSC,SV Elversberg,1,4,2,5,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-29 11:30:00,1226222,E. Weisbach,166,171,Hannover 96,1. FC Nürnberg,2,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-29 11:30:00,1226219,B. Brand,192,785,1. FC Köln,Karlsruher SC,4,4,1,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-04 16:30:00,1226231,F. Prigan,185,177,SC Paderborn 07,SSV Jahn Regensburg,3,0,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-04 16:30:00,1226230,F. Lechner,785,181,Karlsruher SC,SV Darmstadt 98,3,3,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-05 11:00:00,1226234,R. Kampka,171,1313,1. FC Nürnberg,Preußen Münster,3,2,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-05 11:00:00,1226228,P. Alt,192,1652,1. FC Köln,SSV Ulm 1846,2,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-05 11:00:00,1226233,L. Erbst,1660,745,SV Elversberg,1. FC Kaiserslautern,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-05 18:30:00,1226232,T. Bauer,174,159,FC Schalke 04,Hertha BSC,2,2,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-06 11:30:00,1226229,M. Petersen,158,175,Fortuna Düsseldorf,Hamburger SV,0,3,2,3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-06 11:30:00,1226235,B. Dankert,179,178,1. FC Magdeburg,SpVgg Greuther Fürth,2,2,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-06 11:30:00,1226236,D. Schlager,744,166,Eintracht Braunschweig,Hannover 96,2,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-18 16:30:00,1226237,F. Willenborg,181,192,SV Darmstadt 98,1. FC Köln,5,1,0,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-18 16:30:00,1226241,R. Braun,159,744,Hertha BSC,Eintracht Braunschweig,3,1,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-19 11:00:00,1226245,L. Benen,177,158,SSV Jahn Regensburg,Fortuna Düsseldorf,0,3,2,3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-19 11:00:00,1226244,W. Haslberger,1313,1660,Preußen Münster,SV Elversberg,1,1,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-19 11:00:00,1226239,E. Weisbach,166,174,Hannover 96,FC Schalke 04,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-19 18:30:00,1226242,R. Hempel,745,185,1. FC Kaiserslautern,SC Paderborn 07,3,0,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-20 11:30:00,1226238,S. Jablonski,175,179,Hamburger SV,1. FC Magdeburg,3,1,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-20 11:30:00,1226240,F. Exner,178,171,SpVgg Greuther Fürth,1. FC Nürnberg,0,4,2,4,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-20 11:30:00,1226243,M. Bacher,1652,785,SSV Ulm 1846,Karlsruher SC,0,1,2,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-25 16:30:00,1226252,R. Braun,171,177,1. FC Nürnberg,SSV Jahn Regensburg,8,3,0,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-25 16:30:00,1226246,F. Lechner,192,185,1. FC Köln,SC Paderborn 07,1,2,2,3,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-26 11:00:00,1226251,R. Kampka,1660,175,SV Elversberg,Hamburger SV,4,2,0,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-26 11:00:00,1226249,F. Heft,785,159,Karlsruher SC,Hertha BSC,1,3,2,4,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
