date,id,referee,home_team,away_team,home_goals,away_goals,result,total_goals,goal_diff
2023-02-05 12:30:00,873025,T. Gerach,FC St. Pauli,Hannover 96,2,0,0,2,2
2023-02-05 12:30:00,873027,T. Welz,Hansa Rostock,Hamburger SV,0,2,2,2,-2
2023-02-10 17:30:00,873041,F. Willenborg,Karlsruher SC,SpVgg Greuther Furth,2,1,0,3,1
2023-02-10 17:30:00,873033,M. Bacher,Arminia Bielefeld,Hansa Rostock,0,1,2,1,-1
2023-02-11 12:00:00,873038,F. Heft,Holstein Kiel,FC Magdeburg,2,3,2,5,-1
2023-02-11 12:00:00,873040,B. Cortus,Hannover 96,SC Paderborn 07,3,4,2,7,-1
2023-02-11 12:00:00,873037,A. Aarnink,FC Nurnberg,Jahn Regensburg,1,0,0,1,1
2023-02-11 19:30:00,873036,D. Aytekin,FC Heidenheim,Hamburger SV,3,3,1,6,0
2023-02-12 12:30:00,873039,T. Welz,Fortuna Dusseldorf,SV Sandhausen,2,0,0,2,2
2023-02-12 12:30:00,873034,R. Kampka,SV Darmstadt 98,Eintracht Braunschweig,2,1,0,3,1
2023-02-12 12:30:00,873035,M. Petersen,FC St. Pauli,FC Kaiserslautern,1,0,0,1,1
2023-02-17 17:30:00,873045,S. Jablonski,SC Paderborn 07,FC Kaiserslautern,1,0,0,1,1
2023-02-17 17:30:00,873050,N. Winter,Eintracht Braunschweig,Holstein Kiel,2,3,2,5,-1
2023-02-18 12:00:00,873042,M. Fritz,SpVgg Greuther Furth,Fortuna Dusseldorf,2,1,0,3,1
2023-02-18 12:00:00,873048,M. Burda,Jahn Regensburg,Hannover 96,1,1,1,2,0
2023-02-18 12:00:00,873049,P. Alt,FC Magdeburg,FC St. Pauli,1,2,2,3,-1
2023-02-18 19:30:00,873046,A. Sather,Hansa Rostock,SV Darmstadt 98,0,1,2,1,-1
2023-02-19 12:30:00,873043,D. Siebert,Hamburger SV,Arminia Bielefeld,2,1,0,3,1
2023-02-19 12:30:00,873044,F. Exner,FC Heidenheim,FC Nurnberg,5,0,0,5,5
2023-02-19 12:30:00,873047,F. Badstübner,SV Sandhausen,Karlsruher SC,0,3,2,3,-3
2023-02-24 17:30:00,873058,P. Alt,Karlsruher SC,Jahn Regensburg,1,0,0,1,1
2023-02-24 17:30:00,873056,S. Waschitzki,Fortuna Dusseldorf,Eintracht Braunschweig,3,1,0,4,2
2023-02-25 12:00:00,873055,W. Haslberger,Holstein Kiel,SC Paderborn 07,1,1,1,2,0
2023-02-25 12:00:00,873059,P. Ittrich,FC Kaiserslautern,SpVgg Greuther Furth,3,1,0,4,2
2023-02-25 12:00:00,873054,R. Braun,FC Nurnberg,SV Sandhausen,1,0,0,1,1
2023-02-25 19:30:00,873052,C. Dingert,SV Darmstadt 98,Hamburger SV,1,1,1,2,0
2023-02-26 12:30:00,873057,M. Thomsen,Hannover 96,FC Magdeburg,1,2,2,3,-1
2023-02-26 12:30:00,873053,B. Brand,FC St. Pauli,Hansa Rostock,1,0,0,1,1
2023-02-26 12:30:00,873051,F. Lechner,Arminia Bielefeld,FC Heidenheim,0,1,2,1,-1
2023-03-03 17:30:00,873067,M. Bacher,FC Magdeburg,FC Kaiserslautern,2,0,0,2,2
2023-03-03 17:30:00,873063,A. Aarnink,SC Paderborn 07,FC St. Pauli,1,2,2,3,-1
2023-03-04 12:00:00,873066,R. Kampka,Jahn Regensburg,Fortuna Dusseldorf,0,1,2,1,-1
2023-03-04 12:00:00,873065,R. Hartmann,SV Sandhausen,Holstein Kiel,1,1,1,2,0
2023-03-04 12:00:00,873061,T. Reichel,Hamburger SV,FC Nurnberg,3,0,0,3,3
2023-03-04 19:30:00,873062,R. Schröder,FC Heidenheim,SV Darmstadt 98,1,0,0,1,1
2023-03-05 12:30:00,873060,F. Heft,SpVgg Greuther Furth,Hannover 96,1,1,1,2,0
2023-03-05 12:30:00,873068,D. Aytekin,Eintracht Braunschweig,Arminia Bielefeld,3,3,1,6,0
2023-03-05 12:30:00,873064,T. Bauer,Hansa Rostock,Karlsruher SC,0,2,2,2,-2
2023-03-10 17:30:00,873071,T. Gerach,FC Nurnberg,Eintracht Braunschweig,2,0,0,2,2
2023-03-10 17:30:00,873077,M. Burda,FC Kaiserslautern,SV Sandhausen,2,2,1,4,0
2023-03-11 12:00:00,873070,F. Zwayer,FC St. Pauli,SpVgg Greuther Furth,2,1,0,3,1
2023-03-11 12:00:00,873076,N. Winter,FC Magdeburg,SC Paderborn 07,0,0,1,0,0
2023-03-11 12:00:00,873069,F. Brych,Arminia Bielefeld,SV Darmstadt 98,3,1,0,4,2
2023-03-11 19:30:00,873073,D. Schlager,Fortuna Dusseldorf,FC Heidenheim,1,1,1,2,0
2023-03-12 12:30:00,873074,D. Siebert,Hannover 96,Hansa Rostock,1,1,1,2,0
2023-03-12 12:30:00,873072,A. Sather,Holstein Kiel,Jahn Regensburg,1,2,2,3,-1
2023-03-12 12:30:00,873075,S. Stegemann,Karlsruher SC,Hamburger SV,4,2,0,6,2
2023-03-17 17:30:00,873082,R. Braun,FC Heidenheim,Karlsruher SC,5,2,0,7,3
2023-03-17 17:30:00,873078,M. Petersen,Arminia Bielefeld,FC Nurnberg,2,2,1,4,0
2023-03-18 12:00:00,873080,B. Brand,Hamburger SV,Holstein Kiel,0,0,1,0,0
2023-03-18 12:00:00,873085,M. Thomsen,Jahn Regensburg,SC Paderborn 07,1,0,0,1,1
2023-03-18 12:00:00,873079,F. Exner,SpVgg Greuther Furth,FC Magdeburg,3,0,0,3,3
2023-03-18 19:30:00,873081,S. Jablonski,SV Darmstadt 98,FC Kaiserslautern,2,0,0,2,2
