date,id,referee,home_team,away_team,home_goals,away_goals,result,total_goals,goal_diff
2023-05-13 11:00:00,873141,R. Hartmann,SpVgg Greuther Furth,Eintracht Braunschweig,2,2,1,4,0
2023-05-13 11:00:00,873144,F. Lechner,Holstein Kiel,Karlsruher SC,2,1,0,3,1
2023-05-13 11:00:00,873149,M. Thomsen,FC Kaiserslautern,Arminia Bielefeld,1,2,2,3,-1
2023-05-13 18:30:00,873142,M. Jöllenbeck,FC St. Pauli,Fortuna Dusseldorf,0,0,1,0,0
2023-05-14 11:30:00,873143,D. Siebert,SC Paderborn 07,FC Heidenheim,3,2,0,5,1
2023-05-14 11:30:00,873145,S. Stegemann,Hannover 96,SV Darmstadt 98,2,1,0,3,1
2023-05-14 11:30:00,873147,A. Sather,Jahn Regensburg,Hamburger SV,1,5,2,6,-4
2023-05-19 16:30:00,873155,R. Kampka,Holstein Kiel,FC St. Pauli,3,4,2,7,-1
2023-05-19 16:30:00,873152,H. Osmers,SV Darmstadt 98,FC Magdeburg,1,0,0,1,1
2023-05-20 11:00:00,873153,B. Brand,FC Heidenheim,SV Sandhausen,1,0,0,1,1
2023-05-20 11:00:00,873150,F. Willenborg,Arminia Bielefeld,SC Paderborn 07,2,2,1,4,0
2023-05-20 11:00:00,873158,M. Burda,Eintracht Braunschweig,Jahn Regensburg,1,2,2,3,-1
2023-05-20 18:30:00,873151,S. Waschitzki,Hamburger SV,SpVgg Greuther Furth,2,1,0,3,1
2023-05-21 11:30:00,873156,M. Bacher,Fortuna Dusseldorf,Hannover 96,3,3,1,6,0
2023-05-21 11:30:00,873154,T. Reichel,FC Nurnberg,Hansa Rostock,0,0,1,0,0
2023-05-21 11:30:00,873157,F. Heft,Karlsruher SC,FC Kaiserslautern,2,0,0,2,2
2023-05-28 13:30:00,873162,M. Thomsen,Hannover 96,Holstein Kiel,1,5,2,6,-4
2023-05-28 13:30:00,873165,S. Storks,Jahn Regensburg,FC Heidenheim,2,3,2,5,-1
2023-05-28 13:30:00,873159,N. Winter,SpVgg Greuther Furth,SV Darmstadt 98,4,0,0,4,4
2023-05-28 13:30:00,873166,B. Dankert,FC Magdeburg,Arminia Bielefeld,4,0,0,4,4
2023-05-28 13:30:00,873161,S. Stegemann,SC Paderborn 07,FC Nurnberg,0,1,2,1,-1
2023-05-28 13:30:00,873160,P. Alt,FC St. Pauli,Karlsruher SC,1,1,1,2,0
2023-05-28 13:30:00,873164,F. Badstübner,SV Sandhausen,Hamburger SV,0,1,2,1,-1
2023-05-28 13:30:00,873167,M. Petersen,FC Kaiserslautern,Fortuna Dusseldorf,0,3,2,3,-3
2023-05-28 13:30:00,873163,D. Schlager,Hansa Rostock,Eintracht Braunschweig,2,1,0,3,1
2023-06-02 18:45:00,1029216,B. Brand,SV Wehen,Arminia Bielefeld,4,0,0,4,4
2023-06-06 18:45:00,1029217,C. Dingert,Arminia Bielefeld,SV Wehen,1,2,2,3,-1
